epoch,151507,151508,151509,151510,151669,151670,151671,151672,151673,151674,151675,151676
1,0.3366,0.2835,0.3621,0.3124,0.3281,0.3428,0.3341,0.3542,0.345,0.3563,0.3429,0.3176
2,0.3698,0.3705,0.3575,0.3396,0.4037,0.3259,0.37,0.3932,0.3969,0.3762,0.3393,0.3575
3,0.3627,0.3907,0.3817,0.3737,0.407,0.3495,0.4137,0.3861,0.3765,0.428,0.336,0.3851
4,0.399,0.4129,0.449,0.4195,0.4331,0.3363,0.4936,0.4138,0.3938,0.4155,0.3829,0.4218
5,0.3925,0.4206,0.451,0.3944,0.5042,0.3507,0.4854,0.4534,0.4358,0.4446,0.4331,0.416
6,0.4203,0.4422,0.4636,0.4597,0.5127,0.3893,0.5524,0.456,0.4395,0.5092,0.4116,0.4484
7,0.4422,0.4711,0.4767,0.4763,0.53,0.3843,0.5544,0.4612,0.4807,0.4851,0.4704,0.4842
8,0.4647,0.4747,0.5159,0.4741,0.5673,0.4238,0.5857,0.482,0.4831,0.5338,0.4674,0.5029
9,0.4811,0.494,0.5294,0.5109,0.587,0.4006,0.5976,0.5055,0.509,0.5739,0.4892,0.4998
10,0.4564,0.5093,0.5322,0.52,0.6022,0.4197,0.6056,0.5125,0.5371,0.5831,0.5125,0.5341
11,0.4917,0.5485,0.549,0.5516,0.6388,0.4316,0.6655,0.5294,0.53,0.5935,0.5193,0.5269
12,0.4718,0.5567,0.5539,0.5446,0.6166,0.4577,0.682,0.5491,0.5549,0.6153,0.5406,0.545
13,0.5085,0.5488,0.5717,0.5664,0.6438,0.4471,0.7079,0.5618,0.5493,0.655,0.5232,0.5396
14,0.519,0.5714,0.6046,0.5578,0.6681,0.4367,0.7091,0.5622,0.596,0.6608,0.5525,0.5624
15,0.5324,0.5845,0.6004,0.5687,0.6787,0.4578,0.7408,0.5631,0.5968,0.6486,0.5718,0.5714
16,0.5205,0.6109,0.6046,0.5677,0.6805,0.4689,0.7449,0.583,0.5768,0.6676,0.5532,0.5645
17,0.5246,0.583,0.6186,0.5809,0.6878,0.4637,0.7428,0.5619,0.5829,0.6644,0.5552,0.5826
18,0.5433,0.602,0.6121,0.6001,0.6955,0.4676,0.759,0.593,0.6005,0.6746,0.5766,0.5869
19,0.5264,0.6,0.6117,0.5958,0.7161,0.4637,0.7636,0.5906,0.6099,0.6737,0.5822,0.5839
20,0.541,0.6013,0.6085,0.5942,0.7015,0.4667,0.756,0.5832,0.607,0.6857,0.5679,0.5867
