epoch,151507,151508,151509,151510,151669,151670,151671,151672,151673,151674,151675,151676
1,0.3539,0.2868,0.3399,0.3341,0.3318,0.3531,0.3263,0.3617,0.3566,0.3366,0.2924,0.3484
2,0.368,0.3463,0.3685,0.3424,0.3551,0.3724,0.3959,0.359,0.3803,0.3828,0.4016,0.3351
3,0.375,0.3985,0.3953,0.3865,0.3556,0.3941,0.4194,0.3869,0.4133,0.4481,0.4148,0.3647
4,0.4334,0.442,0.393,0.435,0.4069,0.3705,0.4764,0.4747,0.4335,0.4545,0.438,0.4358
5,0.45,0.4111,0.4579,0.4499,0.4686,0.4411,0.5084,0.4491,0.5097,0.4832,0.4572,0.4486
6,0.5042,0.4395,0.4757,0.4992,0.4735,0.4724,0.5121,0.4818,0.4814,0.4999,0.4797,0.4481
7,0.5231,0.4957,0.5158,0.4843,0.4742,0.4928,0.5338,0.5293,0.5128,0.5116,0.5244,0.4853
8,0.547,0.4822,0.5309,0.5287,0.5198,0.5176,0.5992,0.5266,0.5591,0.5556,0.5487,0.5101
9,0.5815,0.5024,0.5423,0.5316,0.5561,0.5366,0.6345,0.5694,0.5807,0.5625,0.5583,0.5051
10,0.5958,0.5181,0.5668,0.5755,0.5312,0.5687,0.6422,0.5908,0.6022,0.5912,0.5721,0.5193
11,0.6141,0.5484,0.5948,0.5496,0.5413,0.5735,0.6688,0.6018,0.6302,0.6107,0.5991,0.5312
12,0.6248,0.5513,0.6086,0.5561,0.5931,0.5784,0.6782,0.6142,0.6307,0.6418,0.6084,0.5607
13,0.6352,0.5544,0.6119,0.5876,0.5859,0.6116,0.6712,0.6495,0.6516,0.6354,0.6226,0.5497
14,0.628,0.5677,0.6507,0.6055,0.596,0.6058,0.7046,0.6446,0.651,0.6802,0.6545,0.5876
15,0.6683,0.5589,0.6471,0.6164,0.623,0.6184,0.7233,0.6676,0.6722,0.6769,0.6583,0.5705
16,0.6781,0.5724,0.6396,0.6083,0.6201,0.6382,0.7345,0.6622,0.6921,0.6776,0.6663,0.5952
17,0.684,0.5913,0.6636,0.6252,0.6076,0.6389,0.7322,0.6721,0.6926,0.6888,0.6551,0.6075
18,0.6844,0.5846,0.6611,0.6335,0.626,0.6301,0.7263,0.6629,0.7053,0.6998,0.6558,0.6049
19,0.6903,0.5805,0.6641,0.6464,0.6327,0.6319,0.7418,0.6797,0.7,0.6812,0.6708,0.6043
20,0.6794,0.5806,0.6647,0.639,0.6295,0.6393,0.7345,0.6799,0.6889,0.697,0.6684,0.6052
