epoch,151507,151508,151509,151510,151669,151670,151671,151672,151673,151674,151675,151676
1,0.3439,0.3208,0.3579,0.3291,0.3371,0.3288,0.3538,0.3156,0.3276,0.3498,0.3574,0.3388
2,0.4037,0.3826,0.39,0.388,0.3837,0.3365,0.3724,0.3563,0.4213,0.3937,0.3991,0.3684
3,0.3892,0.4242,0.4404,0.4343,0.4058,0.3671,0.4452,0.3901,0.4179,0.4437,0.4202,0.4196
4,0.4285,0.4597,0.4365,0.4633,0.4583,0.3896,0.4501,0.4349,0.4508,0.4765,0.4387,0.4688
5,0.4528,0.5053,0.4719,0.5017,0.4778,0.3804,0.4987,0.425,0.4473,0.4833,0.4545,0.5176
6,0.5101,0.5491,0.5213,0.5247,0.5,0.4371,0.5733,0.4791,0.4744,0.5409,0.4803,0.5555
7,0.5222,0.5267,0.5858,0.5639,0.5305,0.4562,0.5865,0.5106,0.5508,0.6198,0.5126,0.5899
8,0.5409,0.6011,0.5972,0.5665,0.5395,0.4292,0.5934,0.5026,0.5726,0.5989,0.5632,0.5822
9,0.5794,0.6178,0.6084,0.5974,0.5883,0.4675,0.6358,0.5337,0.5832,0.6384,0.5721,0.6044
10,0.6087,0.6262,0.6255,0.6181,0.6068,0.4764,0.6414,0.5149,0.6089,0.6806,0.5835,0.6469
11,0.6133,0.6709,0.6685,0.6333,0.6254,0.4692,0.6592,0.5375,0.6311,0.7033,0.625,0.6894
12,0.6115,0.7141,0.6729,0.652,0.6514,0.4958,0.6952,0.5654,0.6394,0.7147,0.6467,0.682
13,0.631,0.7205,0.7034,0.6719,0.671,0.5314,0.7095,0.5675,0.6616,0.7499,0.638,0.6895
14,0.6511,0.7315,0.7113,0.679,0.6724,0.5051,0.7025,0.5947,0.6464,0.7614,0.6588,0.7141
15,0.658,0.7441,0.7383,0.6861,0.6868,0.5167,0.7089,0.6151,0.6976,0.7704,0.6878,0.7353
16,0.6811,0.7541,0.7361,0.7136,0.7023,0.5287,0.7346,0.6151,0.6882,0.7709,0.6688,0.7266
17,0.6825,0.7501,0.7452,0.7172,0.689,0.5277,0.7419,0.6258,0.6847,0.7881,0.6872,0.7643
18,0.6856,0.7793,0.7485,0.7048,0.6972,0.5346,0.7724,0.628,0.6924,0.7901,0.6806,0.7504
19,0.6957,0.7714,0.763,0.7277,0.7103,0.5225,0.7569,0.6248,0.7046,0.7838,0.7026,0.744
20,0.6901,0.7684,0.7464,0.7243,0.7067,0.525,0.7655,0.6315,0.7138,0.7937,0.6843,0.7501
